idx,score,energy,sa_score,rdkit_mol,DFT,smiles,cut_idx,scoring
"(50, 32)",-63.6,-63.64322661617896,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34346a70>,-22.4,Cc1cc(N)c(C=O)cc1C(=O)Cl,10.0,rdkit_embed_scoring_NH3plustoNH3
"(29, 44)",-70.8,-70.76041493220717,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34cd8e70>,-28.0,CC(N)CC(=Cc1ccccc1)C1CC1,8.0,rdkit_embed_scoring_NH3toN2
"(29, 44)",-67.9,-67.86756163706653,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34a07f30>,-34.2,CNCCC1(N)CCCCC1,5.0,rdkit_embed_scoring_NH3toN2
"(22, 49)",-66.3,-66.33894458863695,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34cd88f0>,-28.7,Cc1ccccc1C(C)CC(C)N,12.0,rdkit_embed_scoring_NH3toN2
"(22, 49)",-64.1,-74.57367583238354,0.8593594049119677,<rdkit.Chem.rdchem.Mol object at 0x7fce34326930>,-23.0,Nc1cc(C=O)c(C=O)cc1C=O,10.0,rdkit_embed_scoring_NH3plustoNH3
"(49, 12)",-73.4,-73.4361868443582,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce344e5fb0>,-20.2,CC(C)CC(N)CNC(C)(C)C,6.0,rdkit_embed_scoring_NH3toN2
"(49, 12)",-64.8,-64.94923660476415,0.9981765233277864,<rdkit.Chem.rdchem.Mol object at 0x7fce34625d70>,-30.0,CCC(C)(C)CCC1(N)CCCCC1,6.0,rdkit_embed_scoring_NH3toN2
"(35, 11)",-75.4,-75.40493508271217,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34e5e1f0>,17.7,NC1(N)CCCCC1,0.0,rdkit_embed_scoring_NH3toN2
"(35, 11)",-66.1,-66.10500319451486,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34df6d70>,-22.4,CC(C)(N)CCc1ccc2c(c1)CCC2,14.0,rdkit_embed_scoring_NH3toN2
"(42, 44)",-64.8,-64.79739454921834,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3489f6b0>,-28.2,CCNCCC(C)(C)N,5.0,rdkit_embed_scoring_NH3toN2
"(42, 44)",-70.8,-70.77141747939757,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34625a30>,-35.6,CCCCC(C)(C)C1(N)CCCCC1,10.0,rdkit_embed_scoring_NH3toN2
"(50, 49)",-89.8,-89.77554889096791,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34bbbcf0>,-40.0,Nc1cc([O-])c(F)c([O-])c1,6.0,rdkit_embed_scoring_NH3plustoNH3
"(41, 15)",-57.9,-57.91129194865488,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34ba5730>,1.5,NCCCOc1ncnc2cccnc12,14.0,rdkit_embed_scoring
"(13, 32)",-58.9,-62.28740564201348,0.9456225005010876,<rdkit.Chem.rdchem.Mol object at 0x7fce34c21c70>,2.8,C=C(CCCN)c1n[nH]c2ccccc12,11.0,rdkit_embed_scoring
