,score,energy,sa_score,rdkit_mol,DFT,smiles,cut_idx,scoring
"(40, 28)",-67.7,-67.69271895156012,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3461c170>,-28.0,CSCC1(N)CCCCC1,6.0,rdkit_embed_scoring_NH3toN2
"(48, 46)",-66.6,-66.61082155030886,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3469b6b0>,-31.0,NC1(C2CCCCC2)CCCCC1,0.0,rdkit_embed_scoring_NH3toN2
"(44, 29)",-66.3,-66.29562471619496,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3462f570>,-18.7,CNC(N)Cc1ccccc1,4.0,rdkit_embed_scoring_NH3toN2
"(25, 9)",-65.9,-65.92628020438602,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3461c3f0>,-29.6,CC(N)Cc1ccccc1,3.0,rdkit_embed_scoring_NH3toN2
"(47, 20)",-65.8,-65.78056020281207,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34625870>,-25.7,NC1(CCCCl)CCCCC1,7.0,rdkit_embed_scoring_NH3toN2
"(37, 11)",-65.3,-65.26397984868174,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3461c030>,-25.6,NC1(CCl)CCCCC1,5.0,rdkit_embed_scoring_NH3toN2
"(50, 32)",-65.3,-65.32197295211259,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34647eb0>,-19.1,CC(C)(N)C1CCCCC1,0.0,rdkit_embed_scoring_NH3toN2
"(49, 12)",-64.8,-64.94923660476415,0.9981765233277864,<rdkit.Chem.rdchem.Mol object at 0x7fce34625d70>,-30.0,CCC(C)(C)CCC1(N)CCCCC1,6.0,rdkit_embed_scoring_NH3toN2
"(32, 8)",-86.1,-90.14923112038878,0.9546138361076612,<rdkit.Chem.rdchem.Mol object at 0x7fce34559c70>,-7.9,Nc1ccccc1C=NC(=O)Cl,7.0,rdkit_embed_scoring_NH3plustoNH3
"(13, 3)",-78.6,-87.15994472825317,0.9013085915889056,<rdkit.Chem.rdchem.Mol object at 0x7fce3462f830>,-33.4,Nc1ccccc1N=CC(=O)Cl,7.0,rdkit_embed_scoring_NH3plustoNH3
